grammar,example,meaning_ko,meaning_en,meaning_ja,meaning_zh,translation_ko,translation_en,translation_ja,translation_zh
あげく,色々悩んだあげく、大学院に進学することにした。,"결국; ~한 끝에 (주로 부정적이거나 예상치 못한 결과, 또는 많은 노력 끝에)","to end up; in the end; finally; after all ~ (often with a negative or unexpected outcome, or after much effort)",結局、～した末に,结果；最终；到头来 (多指不好的或意外的结果，或经过很多努力之后),"여러 가지로 고민한 끝에, 대학원에 진학하기로 했다.","After worrying a lot, I ended up deciding to go to graduate school.",色々悩んだあげく、大学院に進学することにした。,经过反复思考，最终决定去读研究生院。
あるいは,会議は明日、あるいは明後日になるでしょう。,또는; 혹은; 어쩌면; 아마도 ~,or; either; maybe; perhaps; possibly ~,または、もしくは、あるいは,或者；抑或；也许；可能 ~,"회의는 내일, 혹은 모레가 될 것입니다.","The meeting will probably be tomorrow, or perhaps the day after tomorrow.",会議は明日、あるいは明後日になるでしょう。,会议大概是明天，或者后天吧。
ばかり,彼は漫画ばかり読んでいる。,정도; 쯤; 뿐; 만 ~,"only; just; nothing but; about, approximately ~",～だけ、のみ、～ほど,左右；上下；光是；净是 ~,그는 만화만 읽고 있다.,He does nothing but read manga.,彼は漫画ばかり読んでいる。,他光看漫画。
ばかりだ,状況は悪くなるばかりだ.,~하기만 하다 (주로 부정적인 방향으로 계속됨); ~할 뿐이다,continue to (go in negative direction); only X left to do,～し続ける、一方だ,一个劲儿地（往坏方向发展）；只剩下（做某事）,상황은 나빠지기만 한다.,The situation is just getting worse.,状況は悪くなるばかりだ。,情况一个劲儿地变坏。
ばかりか,彼は英語ばかりか、フランス語も話せる。,~뿐만 아니라 ~도,not only... but also; as well as ~,～だけでなく、～の上に,不仅…而且…；不光…还…,그는 영어뿐만 아니라 프랑스어도 할 수 있다.,He can speak not only English but also French.,彼は英語ばかりか、フランス語も話せる.,他不仅会说英语，而且还会说法语。
ばかりに,正直に言ったばかりに、彼を怒らせてしまった。,~하는 바람에; ~탓에 (부정적인 결과),simply because; on account of~ (negative result),～から、～という理由で（悪い結果）,只因为…；就因为…（导致不好的结果）,솔직하게 말한 탓에 그를 화나게 만들었다.,"Simply because I spoke honestly, I made him angry.",正直に言ったばかりに、彼を怒らせてしまった。,就因为说了实话，把他给惹生气了。
ちなみに,これは新製品です。ちなみに、旧モデルは半額です。,덧붙여 말하자면; 참고로; 그런데 (접속사),by the way; in this connection; incidentally; (conjunction),ついでに言うと、補足すると,顺便一提；就此而言；另外 (连词),"이것은 신제품입니다. 참고로, 구형 모델은 반값입니다.","This is a new product. By the way, the old model is half price.",これは新製品です。ちなみに、旧モデルは半額です。,这是新产品。顺便说一下，旧型号是半价。
ちっとも～ない,彼は私の話をちっとも聞いていなかった。,조금도 ~않다; 전혀 ~않다,(not) at all; (not) in the least ~,少しも～ない、全然～ない,一点也（不）～；毫（不）～,그는 내 이야기를 조금도 듣고 있지 않았다.,He wasn't listening to my story at all.,彼は私の話をちっとも聞いていなかった。,他一点也没听我说话。
だけあって,さすがプロだけあって、彼の料理は素晴らしい。,~인 만큼; ~답게; 과연 ~이다 보니,being the case; precisely because; as expected from ~,～にふさわしく、さすが,不愧是…；正因为…；到底是…,역시 프로인 만큼 그의 요리는 훌륭하다.,"As expected from a professional, his cooking is wonderful.",さすがプロだけあって、彼の料理は素晴らしい。,不愧是专业人士，他做的菜很棒。
だけまし다,給料は安いけど、仕事があるだけましだ。,~인 것만 해도 다행이다; ~인 것만으로도 낫다,it’s better than; one should feel grateful for ~,～だけまだいい、～だけましだ,还算好的；总比…强；值得庆幸的是…,"월급은 적지만, 일이 있는 것만 해도 다행이다.","The salary is low, but it's better than nothing to have a job.",給料は安いけど、仕事があるだけましだ。,虽然工资低，但有工作就算不错了。
だけに,一生懸命勉強しただけに、合格して本当に嬉しい。,~인 만큼; ~이기 때문에 더욱더,being the case; precisely because; as one would expect; all the more for that reason,～だからこそ、～という理由で,正因为…所以更…；（也）怪不得…,"열심히 공부한 만큼, 합격해서 정말 기쁘다.","Precisely because I studied so hard, I'm really happy I passed.",一生懸命勉強しただけに、合格して本当に嬉しい。,正因为努力学习了，所以考上了真的很高兴。
だけのことはある,このホテルは高いだけのことはある。サービスが素晴らしい。,~만 한 가치가 있다; 괜히 ~한 게 아니다,no wonder; as expected of; not ... for nothing; not ... with nothing to show for it; it's worth it,～の価値がある、さすがだ,不愧是…；果然名不虚传；值得…,이 호텔은 비싼 만큼 가치가 있다. 서비스가 훌륭하다.,"This hotel is expensive, but it's worth it. The service is excellent.",このホテルは高いだけのことはある。サービスが素晴らしい。,这家酒店贵是贵，但确实물有所值。服务很棒。
だけは,できるだけのことはやった。あとは結果を待つだけだ。,"~만큼은; ~만은 (최선을 다하다, 최소한)",to do all that one can; at least; if only ~,～については、せめて～だけでも,尽力（做某事）；至少；只要 ~,할 수 있는 만큼은 다 했다. 이제 결과를 기다릴 뿐이다.,I've done all I can. Now I just have to wait for the results.,できるだけのことはやった。あとは結果を待つだけだ。,能做的都做了。接下来只等结果了。
だって,「なぜ学校へ行かないの？」「だって、気分が悪いんだもん。」,왜냐하면; 하지만; 그렇지만; ~도; ~조차도,because; but; after all; even; too,なぜなら、でも、～も,因为；可是；毕竟；就连；也,"""왜 학교에 안 가니?"" ""왜냐하면, 기분이 안 좋단 말이야.""","""Why aren't you going to school?"" ""Because I don't feel well.""",「なぜ学校へ行かないの？」「だって、気分가悪いんだもん。」,“为什么不去学校？” “因为，我不舒服嘛。”
でしかない,これはただの夢でしかない。,~에 지나지 않다; ~일 뿐이다,merely; nothing but; no more than; there is only ~,～にすぎない、単なる～だ,只不过是…；无非是…；充其量是…,이것은 단지 꿈에 지나지 않는다.,This is nothing but a dream.,これはただの夢でしかない。,这只不过是个梦罢了。
どころではない,忙しくて、昼ごはんを食べるどころではなかった。,~할 상황이 아니다; ~할 때가 아니다; ~은커녕,not the time for; not the place for; far from; anything but ~,～できる状況ではない、～どころではない,不是…的时候（场合）；远非…；谈不上…,바빠서 점심을 먹을 상황이 아니었다.,"I was so busy, it wasn't the time for eating lunch (I couldn't even think about lunch).",忙しくて、昼ごはんを食べるどころではなかった。,忙得连午饭都顾不上吃。
どころか,彼は謝るどころか、逆に私を非難した。,~은커녕; ~은 고사하고; 오히려,far from; anything but; let alone; not to mention; much less ~,～はおろか、それどころか、反対に,不仅不…反而…；别说…就连…；远非…,그는 사과하기는커녕 오히려 나를 비난했다.,"Far from apologizing, he criticized me instead.",彼は謝るどころか、逆に私を非難した。,他非但没有道歉，反而指责我。
どうやら,どうやら雨が降りそうだ。,아무래도; 어쩐지; 보아하니; 간신히 ~,possibly; apparently; seems like; somehow; barely ~,おそらく、どうも、どうやら,总觉得；看起来；好不容易；勉强 ~,아무래도 비가 올 것 같다.,It seems like it's going to rain.,どうやら雨が降りそうだ。,看起来要下雨了。
どうせ,どうせ失敗するなら、やってみよう。,어차피; 아무튼; 어쨌든,anyhow; in any case; at any rate; after all; no matter what,結局は、どっちみち、どうせ,反正；总归；横竖,"어차피 실패할 거라면, 한번 해보자.","If I'm going to fail anyway, I might as well try.",どうせ失敗するなら、やってみよう。,反正都要失败，不如试一试。
得ない / えない,この問題の解決は、専門家の協力なしにはあり得ない。,~할 수 없다; 불가능하다,unable to; cannot; it is not possible to ~,できない、可能性がない,不能；不可能；无法 ~,이 문제의 해결은 전문가의 협력 없이는 있을 수 없다.,Solving this problem is impossible without the cooperation of experts.,この問題の解決は、専門家の協力なしにはあり得ない。,这个问题没有专家的协助是不可能解决的。
得る / える / うる,それは十分にあり得ることだ。,~할 수 있다; 가능하다,can; to be able to; is possible to ~,できる、可能性がある,能；可以；可能 ~,그것은 충분히 있을 수 있는 일이다.,That is something that could very well happen.,それは十分にあり得ることだ。,那是完全可能发生的事。
