kanji,reading,meaning_ko,meaning_en,meaning_ja,meaning_zh
明け方,あけがた,새벽; 동틀녘,dawn,明け方,黎明; 拂晓
青白い,あおじろい,창백한; 푸르스름한,pale; bluish-white,青白い,苍白的; 青白色的
足跡,あしあと,발자국,footprints,足跡,脚印; 足迹
売買,ばいばい,매매; 사고팔기,trade; buying and selling,売買,买卖; 交易
売店,ばいてん,매점; 가판대,stand; stall; booth; kiosk; store,売店,小卖部; 售货亭
募集,ぼしゅう,모집; 초빙,recruitment; invitation; taking applications; solicitation,募集,招募; 征集
長男,ちょうなん,장남; 맏아들,eldest son; first-born son,長男,长子; 大儿子
楕円,だえん,타원,ellipse,楕円,椭圆
大学院,だいがくいん,대학원,graduate school,大学院,研究生院
出入口,でいりぐち,출입구,exit and entrance,出入口,出入口
宴会,えんかい,연회; 잔치,party; banquet; reception; feast; dinner,宴会,宴会; 酒席
円周,えんしゅう,원주; 둘레,circumference,円周,圆周
遠足,えんそく,소풍; 원족,excursion; outing; trip,遠足,远足; 郊游
父母,ふぼ,부모,father and mother; parents,父母,父母
学科,がっか,학과; 전공과목,study subject; course of study; department,学科,学科; 专业; 系
学会,がっかい,학술 대회; 학회,scientific society; academic meeting; academic conference,学会,学会; 学术会议
学力,がくりょく,학력; 학문적 능력,scholarly ability; scholarship; knowledge; literary ability,学力,学力; 学识
外科,げか,외과; 외과 부서,surgery; department of surgery,外科,外科; 外科部门
花火,はなび,불꽃놀이; 불꽃,fireworks,花火,烟花; 焰火
半径,はんけい,반지름; 반경,radius,半径,半径
半島,はんとう,반도,peninsula,半島,半岛
発売,はつばい,발매; 출시,sale; release (for sale); launch (product),発売,发售; 上市
早口,はやくち,말이 빠름; 속사포,fast-talking; rapid talking,早口,说话快; 口齿伶俐
外れる,はずれる,벗어나다; 떨어지다; 빗나가다,to be disconnected; to be off; to miss the mark,外れる,脱落; 偏离; 未中
閉会,へいかい,폐회; 마침,"closure (of a ceremony, event, meeting, etc.)",閉会,闭会; 结束
昼寝,ひるね,낮잠,"nap, siesta",昼寝,午睡; 小睡
意地悪,いじわる,심술궂은; 못된,malicious; ill-tempered; unkind,意地悪,使坏; 心术不正的; 不友善的
移転,いてん,이전; 이사; 주소 변경,moving; relocation; change of address,移転,搬迁; 迁移; 地址变更
一旦,いったん,일단; 잠시; 일시적으로,once; for a short time; briefly; temporarily,一旦,一旦; 暂时; 短暂地
寺院,じいん,사원; 절; 종교 건물,Buddhist temple; religious building,寺院,寺院; 宗教建筑
人文科学,じんぶんかがく,인문과학; 사회과학; 문리과,humanities; social sciences; liberal arts,人文科学,人文学科; 社会科学; 文科
自習,じしゅう,자습; 독학,self-study; teaching oneself,自習,自习; 自学
時速,じそく,시속,speed (per hour),時速,时速
実習,じっしゅう,실습; 훈련; 연습,practice; training; practical exercise; drill,実習,实习; 实践; 演练
過半数,かはんすう,과반수; 대다수,majority,過半数,过半数; 大多数
開会,かいかい,개회; 시작,"opening of a meeting; starting (an event, etc)",開会,开会; 开始
会館,かいかん,회관; 집회소,meeting hall; assembly hall,会館,会馆; 集会堂
回転,かいてん,회전; 선회,rotation; revolution; turning,回転,旋转; 转动
加速,かそく,가속; 속도를 높임,acceleration; speeding up,加速,加速; 加快速度
加速度,かそくど,가속도,acceleration,加速度,加速度
見学,けんがく,견학; 현장 학습; 시찰,study by observation; field trip; tour; review; inspection,見学,参观学习; 实地考察; 游览; 审查; 检查
国王,こくおう,국왕; 여왕; 군주,king; queen; monarch; sovereign,国王,国王; 女王; 君主; 元首
国立,こくりつ,국립,national,国立,国立的
国籍,こくせき,국적; 시민권,nationality; citizenship,国籍,国籍; 公民身份
転がる,ころがる,구르다; 넘어지다; 드러눕다,to roll; to fall over; to lie down,転がる,滚动; 跌倒; 躺下
転がす,ころがす,굴리다; 뒤집다,to roll; to turn over,転がす,使滚动; 翻转
校舎,こうしゃ,교사; 학교 건물,school building; schoolhouse,校舎,校舍; 教学楼
校庭,こうてい,교정; 운동장; 학교 마당,schoolyard; playground; school grounds; campus,校庭,校园; 操场; 校内场地
待合室,まちあいしつ,대합실; 기다리는 곳,waiting room,待合室,候诊室; 等候室
待ち合わせる,まちあわせる,만나기로 약속하다; 약속하여 만나다,to rendezvous; to meet at a prearranged place and time; to arrange to meet,待ち合わせる,约会; (在预定地点和时间)会面; 安排见面
窓口,まどぐち,창구; 매표소,ticket window; teller window; counter,窓口,售票窗口; 柜台
毎度,まいど,매번; 늘; 자주; 항상 감사합니다 (단골손님에게),each time; always; often; thank you for your continued patronage​,毎度,每次; 总是; 经常; 承蒙惠顾
真っ青,まっさお,새파란; 창백한,deep blue; bright blue​; ghastly pale; white as a sheet,真っ青,深蓝色; 鲜蓝色; 惨白; 脸色苍白
真っ白,まっしろ,새하얀; 순백의; 공백의,pure white; blank,真っ白,纯白色; 空白
名刺,めいし,명함,business card,名刺,名片
店屋,みせや,가게; 상점,store; shop,店屋,商店; 店铺
木材,もくざい,목재; 재목,lumber; timber; wood,木材,木材; 木料
元々,もともと,원래; 본래; 처음부터,"originally, by nature, from the start",元々,原本; 本来; 从一开始
内科,ないか,내과,internal medicine,内科,内科
並木,なみき,가로수; 나란히 선 나무들,roadside tree; row of trees,並木,林荫树; 行道树
入社,にゅうしゃ,입사; 회사에 들어감,joining a company,入社,入职; 进入公司
押さえる,おさえる,누르다; 억누르다; 잡다,to pin down; to hold down; to press down,押さえる,按住; 压住; 抑制
理科,りか,이과; 과학 (학과; 과목),science (department; course),理科,理科 (系; 课程)
領収,りょうしゅう,영수; 받음 (돈),receipt (of money); receiving,領収,收据; 收到 (钱款)
再三,さいさん,재삼; 여러 번; 거듭,again and again; repeatedly,再三,再三; 一再
刺さる,ささる,박히다; 찔리다; 걸리다,to stick into (with a sharp point); to prick; to get stuck (in),刺さる,刺入; 扎进; 卡住
刺身,さしみ,사시미; 생선회,"sashimi (raw sliced fish, shellfish or crustaceans)",刺身,生鱼片
早速,さっそく,즉시; 곧바로; 지체 없이,at once; immediately; without delay; promptly,早速,立刻; 马上; 毫不迟延地
刺す,さす,찌르다; 쏘다,to pierce; to stab; to prick; to stick; to thrust; to sting,刺す,刺; 戳; 扎; 叮
青少年,せいしょうねん,청소년; 젊은이,youth; young person,青少年,青少年; 年轻人
赤道,せきどう,적도,equator,赤道,赤道
社会科学,しゃかいかがく,사회과학,social science,社会科学,社会科学
社説,しゃせつ,사설; 주요 기사,editorial; leading article; leader,社説,社论; 重要文章
司会,しかい,사회; 사회자; 진행자,master of ceremonies; leading a meeting; presenter; host,司会,主持人; 主持会议; 司仪
