question,option1,option2,option3,option4,answer,audioFileName,imageName
第1部 1ばん,先週の会議の記録を作成する,調査結果を入力する,林さんに電話をする,プレゼンのしりょうを作成する,先週の会議の記録を作成する,n2q1.mp3,
2ばん,2000円,1000円,900円,100円,1000円,n2q2.mp3,
3ばん,ちゅうりんじょうで張り紙を見る,大学でしんせいしょのじゅんびをする,市役所にしんせいしょを取りに行く,市役所でがくせいしょうをコピーする,大学でしんせいしょのじゅんびをする,n2q3.mp3,
4ばん,インターネットで店をさがす,木村さんに道具を借りる,アウトドア用品の店で道具を買う,初心者向けのこうざに参加する,初心者向けのこうざに参加する,n2q4.mp3,
5ばん,工場の かんりのじょうきょうを 調べる,けいやくのうかに じょうきょうを聞く,運送会社にじょうきょうを聞く,そうこの ほぞんじょうきょうを 調べる,運送会社にじょうきょうを聞く,n2q5.mp3,
第2部 1ばん,近所で起こった事件について調べるため,さいがい時のひなん場所を知らせるため,どこにだれが住んでいるのか知るため,たんとうちいきの住民にあいさつするため,どこにだれが住んでいるのか知るため,n2q6.mp3,
2ばん,きんちょうして落ち着きがなかったこと,話の進め方が適当でなかったこと,声が小さくて聞き取りにくかったこと,質問への対応がよくなかったこと,話の進め方が適当でなかったこと,n2q7.mp3,
3ばん,スタッフの数がそろっていないから,店の工事が間に合わないから,メニューが決まっていないから,注文した食器がとどいていないから,スタッフの数がそろっていないから,n2q8.mp3,
4ばん,考え事をするため,頭の中を整理するため,のうを休めるため,体をリラックスさせるため,頭の中を整理するため,n2q9.mp3,
5ばん,基礎研究が重視されなくなること,産業界の協力が得られなくなること,実用化までに時間がかかりすぎること,基礎研究が重視されなくなること,基礎研究が重視されなくなること,n2q10.mp3,
6ばん,電気をつけておく時間が設定できる,動くものに反応して電気がつく,電気の明るさが細かくちょうせつできる,外の明るさに応じて電気の明るさが変わる,電気をつけておく時間が設定できる,n2q11.mp3,
第3部 1ばん,1,2,3,4,2,n2q12.mp3,
2ばん,1,2,3,4,1,n2q13.mp3,
3ばん,1,2,3,4,3,n2q14.mp3,
4ばん,1,2,3,4,1,n2q15.mp3,
5ばん,1,2,3,4,2,n2q16.mp3,
1ばん,1,2,3,,2,n2q17.mp3,
2ばん,1,2,3,,3,n2q18.mp3,
3ばん,1,2,3,,2,n2q19.mp3,
4ばん,1,2,3,,1,n2q20.mp3,
5ばん,1,2,3,,3,n2q21.mp3,
6ばん,1,2,3,,1,n2q22.mp3,
7ばん,1,2,3,,2,n2q23.mp3,
8ばん,1,2,3,,2,n2q24.mp3,
9ばん,1,2,3,,2,n2q25.mp3,
10ばん,1,2,3,,1,n2q26.mp3,
11ばん,1,2,3,,1,n2q27.mp3,
12ばん,1,2,3,,3,n2q28.mp3,
1ばん,1,2,3,4,3,n2q29.mp3,
2ばん,1,2,3,4,1,n2q30.mp3,
質問1,北中通り,大川通り,上田通り,山下通り,上田通り,n2q31.mp3,
質問2,北中通り,大川通り,上田通り,山下通り,北中通り,n2q31.mp3,
