question,option1,option2,option3,option4,answer,audioFileName,startTime,endTime,imageName,scriptKey
第1部 1ばん,プロジェクターを借りる,液晶モニターを借りる,マイクだけを借りる,三脚を借りる,液晶モニターを借りる,n2q32.mp3,,,,
第1部 2ばん,本人確認できるもの,参加者の名簿,購入した人の名簿,筆記用具,本人確認できるもの,n2q32.mp3,,,,
第1部 3ばん,故障しているから,予約でいっぱいだから,休みだから,在庫がないから,予約でいっぱいだから,n2q32.mp3,,,,
第1部 4ばん,会員証のQRを注文ページで読み取る,レシートを郵送する,電話で申し込む,会員登録は不要だ,会員証のQRを注文ページで読み取る,n2q33.mp3,,,,
第1部 5ばん,今月の3日まで,今月の30日まで,来月の末まで,年末まで,今月の30日まで,n2q33.mp3,,,,
第1部 6ばん,注文番号,商品の型番,商品を受け取る住所,支払い方法,商品の型番,n2q33.mp3,,,,
第2部 1ばん,校庭,体育館,図書室,駅前広場,体育館,n2q34.mp3,,,,
第2部 2ばん,テントの設置,展示会の開催,受付の開始,ダンスの練習,テントの設置,n2q34.mp3,,,,
第2部 3ばん,玄関前,2階ホール,教室,体育館の入口,2階ホール,n2q34.mp3,,,,
第2部 4ばん,破損の確認書類を提出する,商品の箱だけを返す,送料を先に払う,別の住所を登録する,破損の確認書類を提出する,n2q35.mp3,,,,
第2部 5ばん,今日中に,検査が終わり次第の翌日,来週末,返金だけ,検査が終わり次第の翌日,n2q35.mp3,,,,
第3部 1ばん,具体的な経験の例,自分の趣味だけ,過去の失敗だけ,旅行の計画,具体的な経験の例,n2q36.mp3,,,,
第3部 2ばん,応募書類,友人の連絡先,靴ひも,通学定期,応募書類,n2q36.mp3,,,,
第3部 3ばん,午後1時,午後2時,午後3時,午後5時,午後2時,n2q36.mp3,,,,
第3部 4ばん,公民館,区役所,学校の体育館,駅前広場,区役所,n2q37.mp3,,,,
第3部 5ばん,手袋,水筒,名札,傘,手袋,n2q37.mp3,,,,
第3部 6ばん,9時,10時,11時,13時,10時,n2q37.mp3,,,,
第3部 7ばん,豆類中心,チーズ中心,小麦粉中心,鶏肉中心,豆類中心,n2q38.mp3,,,,
第3部 8ばん,5分前,10分前,15分前,30分前,15分前,n2q38.mp3,,,,
第3部 9ばん,エプロン,革手袋,帽子,スカーフ,エプロン,n2q38.mp3,,,,
第3部 10ばん,改札内の売店,駅の案内所,ホーム上,バス停,駅の案内所,n2q39.mp3,,,,
第3部 11ばん,5時まで,6時まで,7時まで,明日の朝まで,6時まで,n2q39.mp3,,,,
第3部 12ばん,食品ロスを調査する,ゴミ袋を配る,講師を探す,遠足を計画する,食品ロスを調査する,n2q40.mp3,,,,
第3部 13ばん,来週の月曜,来週の火曜,今週の金曜,今夜,来週の火曜,n2q40.mp3,,,,
第3部 14ばん,木曜まで,金曜まで,土曜まで,当日だけ,金曜まで,n2q40.mp3,,,,
第3部 15ばん,ルートA,ルートB,ルートC,どれでも,ルートB,n2q41.mp3,,,,
第3部 16ばん,雨具,日焼け止め,虫よけ,絆創膏,雨具,n2q41.mp3,,,,
第3部 17ばん,8時,8時半,9時,10時,8時半,n2q41.mp3,,,,
第3部 18ばん,正午まで,夕方まで,当日朝まで,前日まで,正午まで,n2q42.mp3,,,,
第3部 19ばん,来週の月曜,来週の火曜,再来週の火曜,今夜,来週の火曜,n2q42.mp3,,,,
第3部 20ばん,今日だけ,今日と明日,今週末まで,来月末まで,今日と明日,n2q43.mp3,,,,
