question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,passage_group,sub_question
＿＿＿ の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,じりょ,ちりょ,じりょう,ちりょう,ちりょう,,治療,한자 治療(치료)는 'ちりょう'라고 읽으며 의학적 치료나 요법을 의미합니다. 이 문장에서는 충치 치료를 명확하게 가리키므로 'ちりょう'가 올바른 읽기입니다.,"The kanji 治療 is read as ちりょう and means medical treatment or therapy. In this sentence, it clearly refers to dental treatment for a cavity, so ちりょう is the correct reading.",汉字“治療”读作“ちりょう”，意思是医疗或治疗。在这句话中，它明显指的是蛀牙的牙科治疗，所以“ちりょう”是正确的读音。,漢字「治療」讀作「ちりょう」，意思是醫療或治療。在這句話中，它明顯指的是蛀牙的牙科治療，所以「ちりょう」是正確的讀音。,漢字の「治療」は「ちりょう」と読み、医療や治療を意味します。この文では明らかに虫歯の歯科治療を指しているため、「ちりょう」が正しい読み方です。,"Le kanji 治療 se lit ちりょう et signifie traitement médical ou thérapie. Dans cette phrase, il fait clairement référence au traitement dentaire d'une carie, donc ちりょう est la bonne lecture.","Kanji 治療 dibaca ちりょう dan berarti perawatan medis atau terapi. Dalam kalimat ini, jelas mengacu pada perawatan gigi untuk gigi berlubang, jadi ちりょう adalah cara baca yang benar.","El kanji 治療 se lee como ちりょう y significa tratamiento médico o terapia. En esta oración, se refiere claramente al tratamiento dental de una caries, por lo que ちりょう es la lectura correcta.",คันจิ 治療 อ่านว่า ちりょう หมายถึงการรักษาทางการแพทย์หรือการบำบัด ในประโยคนี้หมายถึงการรักษาฟันผุอย่างชัดเจน ดังนั้น ちりょう จึงเป็นคำอ่านที่ถูกต้อง,"Chữ Hán 治療 được đọc là ちりょう và có nghĩa là điều trị y khoa hoặc liệu pháp. Trong câu này, nó rõ ràng đề cập đến việc điều trị nha khoa cho sâu răng, vì vậy ちりょう là cách đọc chính xác.",P1,歯医者に行って虫歯の治療を受けた。
＿＿＿ の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,きそって,ねらって,あらそって,うばって,きそって,,競って,한자 競う(경쟁하다)는 'きそう'라고 읽습니다. 테(て)형인 競って는 'きそって'라고 읽으며 무언가를 위해 경쟁하거나 다투는 것을 의미합니다. 여기서는 학년 1위를 다투는 것을 묘사하므로 'きそって'가 맞습니다.,"The kanji 競う is read きそう. In te-form, 競って is read きそって. It means to compete or vie for something. Here it describes competing for the top position in the grade, so きそって is correct.",汉字“競う”读作“きそう”。在te形中，“競って”读作“きそって”，意思是竞争或争夺某物。这里描述的是争夺年级第一的位置，所以“きそって”是正确的。,漢字「競う」讀作「きそう」。在te形中，「競って」讀作「きそって」，意思是競爭或爭奪某物。這裡描述的是爭奪年級第一的位置，所以「きそって」是正確的。,漢字の「競う」は「きそう」と読みます。て形では「競って（きそって）」と読み、何かを競い合うことを意味します。ここでは学年トップの座を争うことを描写しているため、「きそって」が正解です。,"Le kanji 競う se lit きそう. À la forme en te, 競って se lit きそって. Il signifie rivaliser ou concourir pour quelque chose. Ici, il décrit le fait de concourir pour la première place de la promotion, donc きそって est correct.","Kanji 競う dibaca きそう. Dalam bentuk-te, 競って dibaca きそって. Artinya bersaing atau memperebutkan sesuatu. Di sini ia menggambarkan persaingan untuk posisi teratas di kelas, jadi きそって adalah benar.","El kanji 競う se lee きそう. En su forma te, 競って se lee きそって. Significa competir o disputar por algo. Aquí describe la competencia por el primer puesto en el grado, por lo que きそって es correcto.",คันจิ 競う อ่านว่า きそう ในรูป te-form 競って จะอ่านว่า きそって หมายถึงการแข่งขันหรือแย่งชิงบางสิ่งบางอย่าง ในที่นี้อธิบายถึงการแข่งขันเพื่อชิงตำแหน่งที่หนึ่งของระดับชั้น ดังนั้น きそって จึงถูกต้อง,"Chữ Hán 競う được đọc là きそう. Ở thể te, 競って được đọc là きそって. Nó có nghĩa là cạnh tranh hoặc tranh giành một điều gì đó. Ở đây nó mô tả việc cạnh tranh cho vị trí đứng đầu trong khối lớp, vì vậy きそって là chính xác.",P1,私たちはテストのたびに学年でトップを競っていた。
＿＿＿ の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,ひびょう,ひべい,ひへい,ひひょう,ひひょう,,批評,"한자 批評(비평)은 'ひひょう'라고 읽으며 비판, 리뷰 또는 평론을 의미합니다. 영화, 책, 예술 작품 등의 리뷰에 사용되는 표준 단어입니다.","The kanji 批評 is read ひひょう and means criticism, review, or critique. It is the standard word for a review of a work such as a movie, book, or artwork.",汉字“批評”读作“ひひょう”，意思是批评、评论或鉴赏。它是电影、书籍或艺术作品等作品评论的标准用词。,漢字「批評」讀作「ひひょう」，意思是批評、評論或鑑賞。它是電影、書籍或藝術作品等作品評論的標準用語。,漢字の「批評」は「ひひょう」と読み、批判、レビュー、評論を意味します。映画、本、芸術作品などのレビューに使われる標準的な言葉です。,"Le kanji 批評 se lit ひひょう et signifie critique, revue ou évaluation. C'est le mot standard pour une critique d'une œuvre telle qu'un film, un livre ou une œuvre d'art.","Kanji 批評 dibaca ひひょう dan berarti kritik, ulasan, atau tinjauan. Ini adalah kata standar untuk ulasan suatu karya seperti film, buku, atau karya seni.","El kanji 批評 se lee ひひょう y significa crítica, reseña o evaluación. Es la palabra estándar para una reseña de una obra como una película, libro u obra de arte.",คันจิ 批評 อ่านว่า ひひょう หมายถึงการวิจารณ์ การรีวิว หรือบทวิจารณ์ เป็นคำมาตรฐานสำหรับใช้รีวิวผลงาน เช่น ภาพยนตร์ หนังสือ หรือผลงานศิลปะ,"Chữ Hán 批評 được đọc là ひひょう và có nghĩa là phê bình, đánh giá hoặc bình luận. Đây là từ tiêu chuẩn cho một bài đánh giá tác phẩm như phim ảnh, sách hoặc tác phẩm nghệ thuật.",P1,今月の雑誌に新しい映画の批評が掲載された。
＿＿＿ の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,さだめた,ためた,おさめた,もとめた,おさめた,,納めた,"한자 納める(납부하다)가 요금, 세금, 지불과 함께 사용될 때는 'おさめる'라고 읽으며 지불하거나 제출한다는 의미입니다. 따라서 여기서는 과거형인 納めた가 사용되어 'おさめた'라고 읽습니다.","The kanji 納める, when used with fees, taxes, or payments, is read おさめる and means to pay or to submit. Here, 納めた (past tense) is therefore read おさめた.",汉字“納める”与费用、税款或付款一起使用时读作“おさめる”，意思是支付或缴纳。因此，这里的“納めた”（过去式）读作“おさめた”。,漢字「納める」與費用、稅款或付款一起使用時讀作「おさめる」，意思是支付或繳納。因此，這裡的「納めた」（過去式）讀作「おさめた」。,漢字の「納める」は、料金、税金、支払いなどと一緒に使われる場合、「おさめる」と読み、支払う、または納入することを意味します。したがって、ここでは過去形の「納めた」が使われており、「おさめた」と読みます。,"Le kanji 納める, lorsqu'il est utilisé avec des frais, des impôts ou des paiements, se lit おさめる et signifie payer ou régler. Ici, 納めた (au passé) se lit donc おさめた.","Kanji 納める, ketika digunakan dengan biaya, pajak, atau pembayaran, dibaca おさめる dan berarti membayar atau menyerahkan. Di sini, 納めた (bentuk lampau) karenanya dibaca おさめた.","El kanji 納める, cuando se usa con tarifas, impuestos o pagos, se lee おさめる y significa pagar o entregar. Aquí, 納めた (en tiempo pasado) se lee, por lo tanto, おさめた.",คันจิ 納める เมื่อใช้กับค่าธรรมเนียม ภาษี หรือการชำระเงิน จะอ่านว่า おさめる หมายถึงการจ่ายหรือนำส่ง ในที่นี้ 納めた (รูปอดีต) จึงอ่านว่า おさめた,"Chữ Hán 納める, khi được sử dụng với các khoản phí, thuế hoặc thanh toán, được đọc là おさめる và có nghĩa là nộp hoặc thanh toán. Ở đây, 納めた (thì quá khứ) do đó được đọc là おさめた.",P1,期日までに入学金を納めた。
＿＿＿ の言葉の読み方として最もよいものを、１・２・３・４から一つ選びなさい。,まける,おとる,へる,おちる,おとる,,劣る,"동사 劣る(떨어지다, 뒤떨어지다)는 'おとる'라고 읽으며 품질 등이 열등하거나 뒤처진다는 의미입니다. 여기서 品質が劣る는 낮은 품질을 설명하므로 'おとる'가 올바른 읽기입니다.","The verb 劣る is read おとる and means to be inferior or fall behind in some quality. Here, 品質が劣る describes lower quality, so おとる is the correct reading.",动词“劣る”读作“おとる”，意思是在某种品质上低劣或落后。这里“品質が劣る”描述的是较低的质量，所以“おとる”是正确的读音。,動詞「劣る」讀作「おとる」，意思是在某種品質上低劣或落後。這裡「品質が劣る」描述的是較低的質量，所以「おとる」是正確的讀音。,動詞の「劣る」は「おとる」と読み、品質などが劣っている、または他より遅れをとっていることを意味します。ここで「品質が劣る」は品質が低いことを説明しているため、「おとる」が正しい読み方です。,"Le verbe 劣る se lit おとる et signifie être inférieur ou en retard sur une certaine qualité. Ici, 品質が劣る décrit une qualité inférieure, donc おとる est la bonne lecture.","Kata kerja 劣る dibaca おとる dan berarti lebih rendah atau tertinggal dalam suatu kualitas. Di sini, 品質が劣る menggambarkan kualitas yang lebih rendah, jadi おとる adalah cara baca yang benar.","El verbo 劣る se lee おとる y significa ser inferior o quedarse atrás en alguna cualidad. Aquí, 品質が劣る describe una calidad inferior, por lo que おとる es la lectura correcta.",คำกริยา 劣る อ่านว่า おとる หมายถึงด้อยกว่าหรือตามหลังในด้านคุณภาพบางอย่าง ในที่นี้ 品質が劣る อธิบายถึงคุณภาพที่ต่ำกว่า ดังนั้น おとる จึงเป็นคำอ่านที่ถูกต้อง,"Động từ 劣る được đọc là おとる và có nghĩa là kém hơn hoặc tụt hậu về một chất lượng nào đó. Ở đây, 品質が劣る mô tả chất lượng thấp hơn, vì vậy おとる là cách đọc chính xác.",P1,A社の製品は他社のものより品質が劣る。
＿＿＿の言葉を漢字で書くとき、最もよいものを１・２・３・４から一つ選びなさい。,完決,簡決,簡潔,完潔,簡潔,,かんけつ,문맥상 'かんけつ'에 맞는 한자는 簡潔(간결)입니다. 간결은 짧고 명확하며 요점을 찌른다는 의미입니다. 이 문장은 작성자에게 글을 짧고 명확하게 쓰도록 요구하고 있습니다.,"The correct kanji for かんけつ in this context is 簡潔. 簡潔 means concise, brief and to the point. The sentence is asking the writer to make their writing short and clear.",在这个语境中，“かんけつ”对应的正确汉字是“簡潔”。“簡潔”的意思是简明扼要、切中要点。这句话要求作者把文章写得简短明了。,在這個語境中，「かんけつ」對應的正確漢字是「簡潔」。「簡潔」的意思是簡明扼要、切中要點。這句話要求作者把文章寫得簡短明瞭。,この文脈において「かんけつ」に当てはまる正しい漢字は「簡潔」です。簡潔とは、短く明確で要点を得ていることを意味します。この文は書き手に対して、文章を短く分かりやすくするように求めています。,"Le bon kanji pour かんけつ dans ce contexte est 簡潔. 簡潔 signifie concis, bref et allant à l'essentiel. La phrase demande à l'auteur de rendre son écriture courte et claire.","Kanji yang benar untuk かんけつ dalam konteks ini adalah 簡潔. 簡潔 berarti ringkas, singkat, dan tepat sasaran. Kalimat tersebut meminta penulis untuk membuat tulisan mereka singkat dan jelas.","El kanji correcto para かんけつ en este contexto es 簡潔. 簡潔 significa conciso, breve y al grano. La oración le pide al escritor que haga su escritura breve y clara.",คันจิที่ถูกต้องสำหรับ かんけつ ในบริบทนี้คือ 簡潔 ซึ่ง 簡潔 หมายถึงกระชับ สั้น และตรงประเด็น ประโยคนี้ขอให้ผู้เขียนเขียนให้สั้นและชัดเจน,"Chữ Hán chính xác cho かんけつ trong ngữ cảnh này là 簡潔. 簡潔 có nghĩa là súc tích, ngắn gọn và đúng trọng tâm. Câu này yêu cầu người viết làm cho bài viết của mình ngắn gọn và rõ ràng.",P2,文章はかんけつに書いてください。
＿＿＿の言葉を漢字で書くとき、最もよいものを１・２・３・４から一つ選びなさい。,賛照,参照,賛考,参考,参照,,さんしょう,이런 종류의 지시문에서 資料(자료)와 함께 사용되는 동사는 '자료를 참조하다'라는 뜻의 資料を参照する입니다. 따라서 여기서 'さんしょう'에 맞는 올바른 한자는 参照(참조)입니다.,"The verb used with 資料 in this kind of instruction is 資料を参照する, meaning 'to refer to the materials'. So the correct kanji for さんしょう here is 参照.",在这类说明中与“資料”连用的动词是“資料を参照する”，意思是“参考资料”。所以这里“さんしょう”对应的正确汉字是“参照”。,在這類說明中與「資料」連用的動詞是「資料を参照する」，意思是「參考資料」。所以這裡「さんしょう」對應的正確漢字是「参照」。,このような指示文で「資料」と一緒に使われる動詞は、「資料を参照する」です。したがって、ここでの「さんしょう」の正しい漢字は「参照」です。,"Le verbe utilisé avec 資料 dans ce genre d'instruction est 資料を参照する, ce qui signifie « se référer aux documents ». Le bon kanji pour さんしょう ici est donc 参照.","Kata kerja yang digunakan dengan 資料 dalam jenis instruksi ini adalah 資料を参照する, yang berarti 'merujuk pada materi'. Jadi kanji yang benar untuk さんしょう di sini adalah 参照.","El verbo utilizado con 資料 en este tipo de instrucción es 資料を参照する, que significa 'consultar los materiales'. Así que el kanji correcto para さんしょう aquí es 参照.",คำกริยาที่ใช้กับ 資料 ในคำสั่งลักษณะนี้คือ 資料を参照する ซึ่งหมายถึง 'อ้างอิงเอกสาร' ดังนั้นคันจิที่ถูกต้องสำหรับ さんしょう ในที่นี้คือ 参照,"Động từ được sử dụng với 資料 trong loại hướng dẫn này là 資料を参照する, có nghĩa là 'tham khảo tài liệu'. Vì vậy, chữ Hán đúng cho さんしょう ở đây là 参照.",P2,具体的な内容については、本日お配りした資料をごさんしょうください。
＿＿＿の言葉を漢字で書くとき、最もよいものを１・２・３・４から一つ選びなさい。,焦げて,焼けて,熱げて,煙げて,焦げて,,こげて,표면이 타거나 눌어붙은 음식의 경우 표준 한자는 焦げる(타다)를 사용합니다. 따라서 여기서 'こげて'는 焦げて로 써야 합니다.,"For food that is burnt or scorched on the surface, the standard kanji is 焦げる. So こげて should be written 焦げて here.",对于表面烧焦或烤焦的食物，标准的汉字是“焦げる”。所以这里的“こげて”应该写成“焦げて”。,對於表面燒焦或烤焦的食物，標準的漢字是「焦げる」。所以這裡的「こげて」應該寫成「焦げて」。,表面が焦げた食べ物の場合、標準的な漢字は「焦げる」を使います。したがって、ここでは「こげて」は「焦げて」と書くべきです。,"Pour les aliments brûlés ou roussis en surface, le kanji standard est 焦げる. Donc, こげて doit s'écrire 焦げて ici.","Untuk makanan yang gosong atau hangus di permukaannya, kanji standarnya adalah 焦げる. Jadi こげて harus ditulis 焦げて di sini.","Para alimentos que están quemados o chamuscados en la superficie, el kanji estándar es 焦げる. Así que こげて debe escribirse 焦げて aquí.",สำหรับอาหารที่ไหม้หรือเกรียมที่พื้นผิว คันจิมาตรฐานคือ 焦げる ดังนั้น こげて ในที่นี้จึงควรเขียนเป็น 焦げて,"Đối với thức ăn bị cháy hoặc khét trên bề mặt, chữ Hán tiêu chuẩn là 焦げる. Vì vậy, こげて nên được viết thành 焦げて ở đây.",P2,火が強すぎて、肉がこげてしまった。
＿＿＿の言葉を漢字で書くとき、最もよいものを１・２・３・４から一つ選びなさい。,障情,障状,症情,症状,症状,,しょうじょう,의학적 문맥에서 '증상'을 의미하는 'しょうじょう'는 症状으로 씁니다. 문장이 환자가 의사에게 말하는 내용을 묘사하고 있으므로 症状이 올바른 선택입니다.,"In a medical context, しょうじょう meaning 'symptoms' is written 症状. The sentence describes what the patient tells the doctor, so 症状 is the correct choice.",在医学语境中，意思是“症状”的“しょうじょう”写成“症状”。这句话描述了病人告诉医生的话，所以“症状”是正确的选择。,在醫學語境中，意思是「症狀」的「しょうじょう」寫成「症状」。這句話描述了病人告訴醫生的話，所以「症状」是正確的選擇。,医療の文脈において、「症状」を意味する「しょうじょう」は「症状」と書きます。文は患者が医師に話す内容を描写しているため、「症状」が正しい選択です。,"Dans un contexte médical, しょうじょう signifiant « symptômes » s'écrit 症状. La phrase décrit ce que le patient dit au médecin, donc 症状 est le bon choix.","Dalam konteks medis, しょうじょう yang berarti 'gejala' ditulis 症状. Kalimat tersebut menggambarkan apa yang dikatakan pasien kepada dokter, jadi 症状 adalah pilihan yang tepat.","En un contexto médico, しょうじょう, que significa 'síntomas', se escribe 症状. La oración describe lo que el paciente le dice al médico, por lo que 症状 es la opción correcta.",ในบริบททางการแพทย์ しょうじょう ที่หมายถึง 'อาการ' จะเขียนเป็น 症状 ประโยคนี้อธิบายถึงสิ่งที่คนไข้บอกกับหมอ ดังนั้น 症状 จึงเป็นตัวเลือกที่ถูกต้อง,"Trong ngữ cảnh y khoa, しょうじょう mang nghĩa là 'triệu chứng' được viết là 症状. Câu này mô tả những gì bệnh nhân nói với bác sĩ, vì vậy 症状 là lựa chọn đúng.",P2,診察室で医者にしょうじょうを伝えた。
＿＿＿の言葉を漢字で書くとき、最もよいものを１・２・３・４から一つ選びなさい。,希く,快く,敬く,喜く,快く,,こころよく,이 문장에서 'こころよく'는 '기꺼이' 또는 '흔쾌히'를 의미합니다. 이 부사에 대한 올바른 한자는 快く입니다.,こころよく in this sentence means 'willingly' or 'pleasantly'. The correct kanji for this adverb is 快く.,这句话中的“こころよく”意思是“乐意地”或“痛快地”。这个副词的正确汉字是“快く”。,這句話中的「こころよく」意思是「樂意地」或「痛快地」。這個副詞的正確漢字是「快く」。,この文における「こころよく」は、「喜んで」や「快く」を意味します。この副詞に対する正しい漢字は「快く」です。,こころよく dans cette phrase signifie « volontiers » ou « avec plaisir ». Le bon kanji pour cet adverbe est 快く.,こころよく dalam kalimat ini berarti 'dengan senang hati' atau 'dengan rela'. Kanji yang benar untuk kata keterangan ini adalah 快く.,こころよく en esta oración significa 'de buena gana' o 'gustosamente'. El kanji correcto para este adverbio es 快く.,こころよく ในประโยคนี้หมายถึง 'อย่างเต็มใจ' หรือ 'ด้วยความยินดี' คันจิที่ถูกต้องสำหรับคำวิเศษณ์นี้คือ 快く,こころよく trong câu này có nghĩa là 'sẵn lòng' hoặc 'vui vẻ'. Chữ Hán đúng cho phó từ này là 快く.,P2,急なお願いにもかかわらず、森さんはこころよく応じてくれた。
