question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi
__のことばの読み方として最もよいものを、１・２・３・４から一つえらびなさい。\n中村部長と直接話した。,ちょくぜつ,ちょうせつ,ちょくせつ,ちょうぜつ,ちょくせつ,,直接,,"The kanji 「直接」 is read ちょくせつ and means directly. Here it shows that the speaker talked to 中村部長 without going through someone else, so ちょくせつ is the only correct reading.",,,,,,,,
これはすぐには燃えません。,にえません,ひえません,きえません,もえません,もえません,,燃えません,,"The kanji 「燃える」 means to burn. In the sentence, 燃えません is the polite negative form, will not burn. It describes a material that does not catch fire quickly, so もえません is the correct reading.
",,,,,,,,
この位置に車を止めてください。,とじ,いじ,とち,いち,いち,,位置,,"「位置」 means position, location and is read いち. The sentence talks about the position where you should park the car, so いち is the correct reading for this kanji.",,,,,,,,
計算ができたので見てください。,けいかく,けいざん,けいさん,けいがく,けいさん,,計算,,"「計算」 means calculation, computation and is normally read けいさん in modern Japanese. Here it refers to a finished calculation, so けいさん is the natural reading.",,,,,,,,
ずっとパソコンを使っていて疲れたので、腕を回してみた。,まわして,おして,おろして,のばして,まわして,,回して,,"「回す」 (まわす) means to turn, rotate. In て-form it is 回して (まわして). Here the person is rotating their arms to relax them, so まわして is the correct reading.",,,,,,,,
ここは禁煙です。,きねん,きえん,きんねん,きんえん,きんえん,,禁煙,,"「禁煙」 means no smoking, smoking prohibited and is read きんえん. It is used on signs and notices where smoking is not allowed, so きんえん is the correct reading.",,,,,,,,
きれいに結んでください。,たたんで,むすんで,つつんで,ならんで,むすんで,,結んで,,"「結ぶ」 (むすぶ) means to tie, fasten, knot. In て-form it becomes 結んで (むすんで). The sentence asks someone to tie something nicely, so むすんで is correct.
",,,,,,,,
手術をしなくても治りますから、大丈夫ですよ。,しゅじゅつ,"
てじゅつ",しゅしゅつ,てしゅつ,しゅじゅつ,,手術,,"「手術」 means surgery, operation and is read しゅじゅつ. The doctor is saying that the illness will heal without needing surgery, so しゅじゅつ is the correct reading.
",,,,,,,,
__のことばを漢字で書くとき、最もよいものを、１・２・３・４から一つえらびなさい。\n次の目標は10びょうです。,培,抄,"
倍",秒,秒,,びょう,,"Here びょう is the unit of time seconds, so the correct kanji is 秒. Therefore option 4, 秒, is the correct choice.",,,,,,,,
ボールが遠くまでとんだ。,投んだ,打んだ,飛んだ,転んだ,飛んだ,,とんだ,,"Here とんだ describes the ball moving through the air to a distant place, so the kanji 飛んだ is appropriate.
",,,,,,,,
ここは、さかみちが多いですね。,岩道,"
板道",石道,坂道,坂道,,さかみち,,"さかみち refers to a road that goes up or down, so 坂道 (slope road) is the correct kanji.",,,,,,,,
この皿だけ色がちがいます。,遺います,達います,遅います,違います,違います,,ちがいます,,"The verb ちがいます (to be different) is written 違います, so option 4 is the correct spelling here.",,,,,,,,
あの会社とは、いいかんけいをつくりたい。,関系,"
関係",間係,間系,"
関係",,かんけい,,"かんけい in the sense of human or business relationships is written 関係, so option 2 is correct.",,,,,,,,
父はきょうしをしています。,教仕,教帥,教師,教任,教師,,きょうし,,"きょうし meaning teacher (as a profession) is written 教師, so option 3 is correct.",,,,,,,,
（ 　　　）に入れるのに最もよいものを、１・２・３・４から一つえらびなさい。\n今から行うインタビューの（　　　）は、授業に対する希望を聞くことです。,影響,目的,様子,原因,目的,,,,"The sentence explains what the interview is for. That is the purpose, so 目的 fits naturally in the blank.",,,,,,,,
食事中、コップを（　　　）に落として割ってしまった。,床,天井,屋根,壁,床,,,,"When you drop a cup during a meal and it breaks, it naturally falls to the floor, so 床 is the correct word.",,,,,,,,
駅前に建設中の立派なマンションが、来月ついに（　　　）するらしい。,開場,完成,発展,進行,完成,,,,"マンション is being built (建設中). The natural verb when a building is finished is 完成する (to be completed), so 完成 fits best.",,,,,,,,
この店の料理は安くておいしいので、店の前にはいつも長い（　　　）ができている。,線,列,帯,波,列,,,,"People waiting to enter form a line, so 列 (queue) is the correct word.",,,,,,,,
最近太ったので、ズボンがきつくて、はくとすぐに（　　　）なってしまう。,くるしく,まぶしく,きびしく,あやしく,くるしく,,,,"Tight pants make you feel physically uncomfortable or in pain around the waist, so くるしくなる fits the situation.",,,,,,,,
この小説の中に（　　　）する人たちは、皆大きな夢を持っている。,滞在,登場,発生,同席,同席,,,,"登場する is the standard verb meaning to appear in a story, novel, play, etc., so it fits perfectly here.",,,,,,,,
薬を飲んでゆっくり休んだら（　　　）良くなったので、明日は会社に行けそうです。,かならず,なるべく,"
ずいぶん",いつでも,"
ずいぶん",,,,"The sentence describes a big improvement in condition, so ずいぶん (quite, very much) is the best choice.",,,,,,,,
山口さんは、どんなときでも慌てないで（　　　）行動できる人だ。,間に合って,"
引受けて",気になって,落ちついて,落ちついて,,,,慌てないで (without getting flustered) matches well with 落ちついて (in a calm way). Together they describe a person who stays calm in any situation.,,,,,,,,
パスポートを（　　　）するため、必要な書類を持って窓口へ行った。,応募,申請,注文,期待,申請,,,,"For official documents like passports, you 申請する (make a formal application), so 申請 is correct.
",,,,,,,,
服にコーヒーがついて（　　　）になってしまい、何回も洗ったがきれいにならない。,しみ,傷,かび,泡,しみ,,,,"Coffee on clothes leaves a mark that is hard to wash out, which is called a しみ (stain), so しみ is the correct choice.",,,,,,,,
あの兄弟は双子みたいに顔が（　　　）で、区別できないね。,"
はっきり",うっかり,そっくり,"
すっかり",そっくり,,,,"When two people look almost the same, you say そっくり. So そっくり fits perfectly with 双子みたいに and 区別できない.",,,,,,,,
__に意味が最も近いものを、１・２・３・４から一つえらびなさい。\n前田さんも協力してください。,急いで,決めて,手伝って,がんばって,手伝って,,協力して,,"協力する means to cooperate, to help toward the same goal. In this context, it is close in meaning to 手伝う (to help), so 手伝って is the best paraphrase.",,,,,,,,
この仕事のスケジュールを教えてください。,規則,やり方,結果,予定,予定,,スケジュール,,"スケジュール is a loanword meaning schedule. The natural Japanese equivalent for a time plan is 予定, so 予定 is the correct paraphrase.",,,,,,,,
食事代は約1万円でした。,だいたい1万円,ちょうど1万円,1万円以上,1万円以下,だいたい1万円,,約1万円,,"約 means about, approximately. だいたい1万円 expresses the same idea, so it is the correct paraphrase.",,,,,,,,
高橋さんにどなられた。,大声で怒られた,小声で怒られた,大声で笑われた,小声で笑われた,大声で怒られた,,どなられた,,「高橋さんにどなられた。」→ Mr. Takahashi yelled at me angrily.,,,,,,,,
中島さんはあらゆる質問に丁寧に答えた。,一つの,全部の,難しい,簡単な,全部の,,あらゆる,,"あらゆる means all kinds of, every. It is close in meaning to 全部の, so 全部の質問に丁寧に答えた is a good paraphrase.",,,,,,,,
つぎのことばの使い方として最もよいものを、１・２・３・４から一つえらびなさい。\n減少,わたしが勤めている高校では、図書室の利用者がかなり減少している。,セールで値段が減少したので、欲しかった服を数枚買った。,今学期は熱心に勉強したのに、前の学期より成績が減少してしまった。,この図は大きすぎるので、半分に減少してコピーしてください。,わたしが勤めている高校では、図書室の利用者がかなり減少している。,,減少,,"減少する is used for numbers or amounts going down over time (population, users, sales, etc.). Here it refers to the number of people using the library, so 減少している is natural.",,,,,,,,
身につける,山下さんはたくさんの友人を身につけている。,今回の留学では多くの知識を身につけることができたと思う。,わたしは栄養を身につけているので、とても健康だ。,毎朝、犬を身につけてこの公園を散歩している。,今回の留学では多くの知識を身につけることができたと思う。,,身につける,,"身につける is commonly used for knowledge, skills, techniques, and habits that you acquire and make part of yourself. 多くの知識を身につける is a very natural expression.",,,,,,,,
中古,この会社では、働きはじめて3年目の社員は十分に中古として頼られている。,この情報はもう中古なので、最新のニュースが知りたい。,新しい冷蔵庫は高いので先輩から中古をもらったが、問題なく使えそうだ。,高校を卒業して10年もたち、同級生たちとの友情も中古になってしまった。,新しい冷蔵庫は高いので先輩から中古をもらったが、問題なく使えそうだ。,,中古,,"中古 is normally used for used goods like cars, houses, appliances, and books. A used refrigerator from a senior is a typical example, so this sentence is natural.",,,,,,,,
断る,みんなに反対されたが、わたしは自分の夢を断らなかった。,誰もそのうわさを断らないので、本当のことなのかもしれない。,わたしは40歳のとき、勤めていた会社を断って、農業を始めた。,友人に映画に行こうと言われたが、用事があるので誘いを断った。,友人に映画に行こうと言われたが、用事があるので誘いを断った。,,断る,,"断る is commonly used with 誘い (invitation), 申し出 (offer), 頼み (request), meaning to say no. 誘いを断った is a very natural phrase.",,,,,,,,
受取る,父親は走ってきた子どもを両手で受取った。,わたしの家では毎年ホームステイの学生を受取っています。,送ってくださった資料は、本日確かに受取りました。,隣にいた人が倒れそうになったので、腕を受取ってあげた。,送ってくださった資料は、本日確かに受取りました。,,受取る,,"受取る is naturally used when you receive documents, parcels, or money from someone. 資料を受取る is a standard business expression, so this sentence is correct.
",,,,,,,,
つぎの文の（ ）に入れるのに最もよいものを、１・２・３・４から一つえらびなさい。\n留学中、ときどき届く家族（　　　）手紙は、本当にうれしかった。,と,から,との,からの,からの,,,,"からの is correct. It means 'from (someone)', used before a noun.",,,,,,,,
（お知らせで）\n東側の駐車場は現在工事中の（　　　）、南側の駐車場をご利用ください。,ほか,ため,途中,一方,ため,,,,"The pattern 「Nのため」 means 'because of N' or 'due to N'. 「工事中のため」 = 'due to construction', which fits a formal notice.",,,,,,,,
（駅のホームで）\n妹 「ねえ、トイレへ行ってきてもいい？」\n姉 「うん。でも、（　　　）5分で電車が来ちゃうから、急いでね。」,あと,まだ,だんだん,今にも,あと,,,,「あと5分で」 is a fixed expression meaning 'in 5 more minutes / only 5 minutes left'. It matches the idea that the train is coming soon.,,,,,,,,
ハンバーグを作るのは難しいと思っていたが、（　　　）思ったより難しくなかった。,作っているうちに,"
作ったとしても","
作ってみると",作った後で,"
作ってみると",,,,"「Vてみると」 means 'when I try doing V, I find that...'. The sentence contrasts the speaker's expectation with the actual experience after trying to cook.",,,,,,,,
中村 「課長、昨日（　　　）お土産のチョコレート、とてもおいしかったです。ありがとうございました。」\n課長 「ああ、それはよかった。」,おりました,まいりました,なさった,いただいた,いただいた,,,,「いただく」 is the humble version of もらう used when you receive something from someone of higher status. 「昨日いただいたお土産のチョコレート」 politely means 'the souvenir chocolates I received from you yesterday'.,,,,,,,,
初めて彼女に会ったとき、「なんてきれいな人（　　　）」と思った。,なんだろう,だった,みたいだ,だったのか,なんだろう,,,,"The pattern 「なんて〜なんだろう」 expresses a strong emotional reaction ('what a ~!', 'so ~!'). So 「なんてきれいな人なんだろう」 is a natural exclamation of admiration.",,,,,,,,
"（電話で）\n店員 「お電話ありがとうございます。さくら美容院（　　　）。」\n客 「すみません、今日予約したいんですが。」\n店員 「はい、ありがとうございます。何時ごろがよろしいでしょうか。」


","
でいらっしゃいます",でございます,と申し上げます,とおっしゃいます,でございます,,,,"On the phone in polite business Japanese, shops normally introduce themselves with 「〜でございます」 ('This is ~'). So 「さくら美容院でございます」 is the standard expression.
",,,,,,,,
中西 「川村さん、昨日のダンス教室の見学、どうだった？入るの？」 川村「ううん、あまり（　　　）から、入らないことにしたよ。」,おもしろかったはずがない,おもしろくなければならなかった,おもしろそうじゃなかった,"
おもしろくなかっただろう",おもしろそうじゃなかった,,,,"「〜そうだ」 describes appearance or impression. 「おもしろそうじゃなかった」 = 'did not seem interesting', which matches the reason for not joining after observing the class.",,,,,,,,
旅行の楽しみの一つは、そこ（　　　）食べられない料理を食べることだ。,でしか,だけの,だけ,での,でしか,,,,「NでしかVない」 means 'can only V at/in N'. So 「そこでしか食べられない料理」 naturally means 'food that you can eat only there'.,,,,,,,,
りんごはそのまま食べるのもおいしいが、ジャム（　　　）おいしい。,にするのに,にしても,になると,になって,にしても,,,,"「Nにしても」 after a noun here means 'even when made into N / also as N'. So 「ジャムにしてもおいしい」 is natural: 'they’re also good as jam'.
",,,,,,,,
私はたまに電気とテレビを（　　　）朝まで寝てしまうことがある。,"
ついている間",つけている間,ついたまま,つけたまま,つけたまま,,,,"「Vたまま」 expresses 'leaving something in the state resulting from V'. 「つけたまま」 = 'leaving (them) turned on', which matches the idea that the person fell asleep without turning them off.",,,,,,,,
先月買った靴は、（　　　）足が疲れないので気に入っている。,歩きやすくて,歩きすぎて,歩きやすかったら,歩きすぎたら,歩きやすくて,,,,"「Vやすい」 means 'easy to V'. 「歩きやすくて」 connects the reason: 'because they are easy to walk in, (my feet don’t get tired)'.",,,,,,,,
