question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,passage_group ,sub_question 
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,すい,ずい,みず,みす,みず,,水,"""水""는 단독 명사로 쓰일 때 “물”이라는 뜻의 みず로 읽는다. をください(주세요)와 함께 쓰이면 단독 읽기인 みず가 자연스럽다.","The kanji ""水"" is read as みず when it stands alone as the noun “water.” With をください (please give me), the standalone reading みず fits naturally.",“水”单独作为名词时读作 みず，意思是“水”。与 をください（请给我）一起使用时，单独读音 みず 最自然。,「水」單獨作為名詞時讀作 みず，意思是「水」。與 をください（請給我）一起使用時，單獨讀音 みず 最自然。,「水」という漢字は、単独で名詞「水」を表すとき「みず」と読みます。をください（please give me）と一緒に使われているため、単独読みの「みず」が自然です。,"Le kanji « 水 » se lit みず lorsqu’il est utilisé seul comme le nom « eau ». Avec をください (« s’il vous plaît, donnez-moi »), la lecture autonome みず convient naturellement.","Kanji “水” dibaca みず ketika berdiri sendiri sebagai kata benda “air”. Dengan をください (“tolong berikan”), bacaan mandiri みず terdengar paling alami.","El kanji « 水 » se lee みず cuando aparece solo como el sustantivo “agua”. Con をください (“por favor, deme”), la lectura independiente みず encaja naturalmente.",คันจิ 「水」 อ่านว่า みず เมื่อใช้เดี่ยว ๆ ในความหมายว่า “น้ำ” เมื่อใช้กับ をください (“กรุณาให้...”) การอ่านแบบเดี่ยวว่า みず จึงเหมาะสมตามธรรมชาติ,"Chữ Hán “水” được đọc là みず khi đứng một mình với nghĩa là “nước”. Với をください (“xin hãy cho tôi”), cách đọc độc lập みず phù hợp tự nhiên.",P1,すみません、水をください。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,かくこう,がくこう,かっこう,がっこう,がっこう,,学校,"""学校""는 がっこう로 읽는다. 学(がく) + 校(こう)가 결합하면서 작은 っ(촉음)이 들어가 자연스럽게 がっこう가 된다.","The kanji ""学校"" is read as がっこう. It combines 学(がく) + 校(こう), which becomes がっこう with a small っ (sokuon) in natural pronunciation.",“学校”读作 がっこう。它由 学（がく）+ 校（こう）组成，在自然发音中会出现小促音 っ，因此变成 がっこう。,「学校」讀作 がっこう。它由 學（がく）+ 校（こう）組成，在自然發音中會出現小促音 っ，因此變成 がっこう。,「学校」は「がっこう」と読みます。学（がく）＋校（こう）が組み合わさり、自然な発音で小さい「っ」（促音）が入って「がっこう」になります。,"Le kanji « 学校 » se lit がっこう. Il combine 学(がく) + 校(こう), qui devient naturellement がっこう avec un petit っ (sokuon).","Kanji “学校” dibaca がっこう. Kanji ini menggabungkan 学(がく) + 校(こう), yang secara alami menjadi がっこう dengan bunyi kecil っ (sokuon).","El kanji « 学校 » se lee がっこう. Combina 学(がく) + 校(こう), que naturalmente se convierte en がっこう con una pequeña っ (sokuon).",คันจิ 「学校」 อ่านว่า がっこう เป็นการรวมกันของ 学(がく) + 校(こう) ซึ่งออกเสียงตามธรรมชาติเป็น がっこう พร้อมเสียง っ เล็ก (sokuon),"Chữ Hán “学校” được đọc là がっこう. Nó kết hợp từ 学(がく) + 校(こう), và trong cách phát âm tự nhiên trở thành がっこう với âm nhỏ っ (sokuon).",P1,まいあさ　8じに　学校に　いきます。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,やすい,"かるい","ふるい",うすい,やすい,,安い,"""安い""는 やすい로 읽으며 “싸다, 저렴하다”라는 뜻이다. 문장이 코트의 가격에 대해 말하고 있으므로 알맞다.","The kanji ""安い"" is read as やすい, meaning inexpensive/cheap. It fits because the sentence is talking about the coat’s price.",“安い”读作 やすい，意思是“便宜的”。句子是在谈论外套的价格，所以这个词最合适。,「安い」讀作 やすい，意思是「便宜的」。句子是在談論外套的價格，所以這個詞最合適。,「安い」は「やすい」と読み、「安価な・安い」という意味です。文はコートの値段について話しているので適切です。,"Le kanji « 安い » se lit やすい, signifiant « peu cher / bon marché ». Cela convient car la phrase parle du prix du manteau.","Kanji “安い” dibaca やすい, yang berarti “murah”. Ini cocok karena kalimat tersebut membicarakan harga mantel.","El kanji « 安い » se lee やすい, que significa “barato/económico”. Encaja porque la oración habla del precio del abrigo.",คันจิ 「安い」 อ่านว่า やすい หมายถึง “ราคาถูก” เหมาะกับบริบทเพราะประโยคพูดถึงราคาของเสื้อโค้ต,"Chữ Hán “安い” được đọc là やすい, nghĩa là “rẻ”. Nó phù hợp vì câu đang nói về giá của chiếc áo khoác.",P1,この　コートは　安いですね。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,すこない,すくない,"すごない",すぐない,すくない,,少ない,"""少ない""는 すくない로 읽는 イ형용사이며 “적다”라는 뜻이다. 숙제의 양을 설명하는 데 적절하다.","The kanji ""少ない"" is read as すくない, an i-adjective meaning ""few; little; not much/many."" It correctly describes the amount of homework. ",“少ない”读作 すくない，是一个い形容词，意思是“少的”。它正确地描述了作业的数量。,「少ない」讀作 すくない，是一個い形容詞，意思是「少的」。它正確地描述了作業的數量。,「少ない」は「すくない」と読むイ形容詞で、「少ない・多くない」という意味です。宿題の量を正しく表しています。,"Le kanji « 少ない » se lit すくない, un adjectif en い signifiant « peu ; pas beaucoup ». Il décrit correctement la quantité de devoirs.","Kanji “少ない” dibaca すくない, sebuah kata sifat -i yang berarti “sedikit; tidak banyak”. Kata ini tepat untuk menjelaskan jumlah PR.","El kanji « 少ない » se lee すくない, un adjetivo -i que significa “poco; no mucho”. Describe correctamente la cantidad de tarea.",คันจิ 「少ない」 อ่านว่า すくない เป็นคำคุณศัพท์ประเภท i-adjective หมายถึง “น้อย; ไม่มาก” ใช้อธิบายปริมาณการบ้านได้ถูกต้อง,"Chữ Hán “少ない” được đọc là すくない, là tính từ đuôi -i mang nghĩa “ít; không nhiều”. Nó mô tả đúng số lượng bài tập về nhà.",P1,きょうは　しゅくだいが　少ないです。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,よんせんえん,ろくせんえん,ろくまんえん,"よんまんえん",ろくまんえん,,六万円で,"六万円은 ろくまんえん으로 읽는다: 六(ろく, 6) + 万(まん, 만) + 円(えん, 엔) = 60,000엔이라는 뜻이다.","六万円 is read as ろくまんえん: 六 (ろく, six) + 万 (まん, ten thousand) + 円 (えん, yen) = 60,000 yen.",六万円读作 ろくまんえん：六（ろく，六）+ 万（まん，一万）+ 円（えん，日元）= 六万日元。,六万円讀作 ろくまんえん：六（ろく，六）+ 萬（まん，一萬）+ 円（えん，日圓）= 六萬日圓。,"六万円は「ろくまんえん」と読みます：六（ろく、six）＋万（まん、ten thousand）＋円（えん、yen）＝60,000円です。","六万円 se lit ろくまんえん : 六 (ろく, six) + 万 (まん, dix mille) + 円 (えん, yen) = 60 000 yens.","六万円 dibaca ろくまんえん: 六 (ろく, enam) + 万 (まん, sepuluh ribu) + 円 (えん, yen) = 60.000 yen.","六万円 se lee ろくまんえん: 六 (ろく, seis) + 万 (まん, diez mil) + 円 (えん, yen) = 60.000 yenes.","六万円 อ่านว่า ろくまんえん: 六 (ろく, หก) + 万 (まん, หนึ่งหมื่น) + 円 (えん, เยน) = 60,000 เยน","六万円 được đọc là ろくまんえん: 六 (ろく, sáu) + 万 (まん, mười nghìn) + 円 (えん, yên) = 60.000 yên.",P1,この　ふくは　六万円です。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,ひだり,みき,みぎ,"ひたり",ひだり,,左,한자 左는 ひだり로 읽으며 “왼쪽”이라는 뜻이다. 문장은 왼쪽으로 도는 방향을 설명하고 있으므로 ひだり가 맞다.,"The kanji 左 is read as ひだり, meaning ""left."" The sentence is giving a direction to turn left, so ひだり fits.",汉字 左 读作 ひだり，意思是“左边”。句子是在说明向左转的方向，因此 ひだり 最合适。,漢字 左 讀作 ひだり，意思是「左邊」。句子是在說明向左轉的方向，因此 ひだり 最合適。,漢字「左」は「ひだり」と読み、「左」という意味です。文は左に曲がる方向を説明しているので、「ひだり」が合います。,"Le kanji 左 se lit ひだり, signifiant « gauche ». La phrase donne une direction pour tourner à gauche, donc ひだり convient.","Kanji 左 dibaca ひだり, yang berarti “kiri”. Kalimat tersebut memberi arah untuk belok kiri, jadi ひだり cocok.","El kanji 左 se lee ひだり, que significa “izquierda”. La oración da una dirección para girar a la izquierda, por lo que ひだり encaja.",คันจิ 左 อ่านว่า ひだり หมายถึง “ซ้าย” ประโยคนี้กำลังบอกทิศทางให้เลี้ยวซ้าย ดังนั้น ひだり จึงเหมาะสม,"Chữ Hán 左 được đọc là ひだり, nghĩa là “bên trái”. Câu này đang chỉ hướng rẽ trái nên ひだり phù hợp.",P1,その　かどを　左に　まがって　ください。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,さんぽん,さんぼん,さんべん,さんぺん,さんぼん,,三本　,本은 연필처럼 길고 가는 물건을 세는 조수사이다. 3과 함께 쓰이면 발음 변화로 さんぼん이 되므로 三本은 さんぼん으로 읽는다.,"本 is the counter for long, cylindrical objects (like pencils). With 3, 本 changes to さんぼん (hon → bon by sound change), so 三本 is read さんぼん.",本 是细长物体（如铅笔）的量词。和数字 3 一起使用时，会发生音变，从 hon 变成 bon，因此 三本 读作 さんぼん。,本 是細長物體（如鉛筆）的量詞。和數字 3 一起使用時，會發生音變，從 hon 變成 bon，因此 三本 讀作 さんぼん。,本は、鉛筆のような細長い物を数える助数詞です。3と一緒に使うと音変化で「さんぼん」になるため、三本は「さんぼん」と読みます。,"本 est le compteur utilisé pour les objets longs et cylindriques (comme les crayons). Avec 3, 本 devient さんぼん (hon → bon par changement phonétique), donc 三本 se lit さんぼん.","本 adalah penghitung untuk benda panjang dan silinder (seperti pensil). Dengan angka 3, 本 berubah menjadi さんぼん (hon → bon karena perubahan bunyi), jadi 三本 dibaca さんぼん.","本 es el contador para objetos largos y cilíndricos (como lápices). Con el número 3, 本 cambia a さんぼん (hon → bon por cambio fonético), así que 三本 se lee さんぼん.",本 เป็นลักษณนามสำหรับสิ่งของทรงยาวและทรงกระบอก (เช่น ดินสอ) เมื่อใช้กับเลข 3 จะเปลี่ยนเป็น さんぼん (hon → bon ตามการเปลี่ยนเสียง) ดังนั้น 三本 จึงอ่านว่า さんぼん,"本 là lượng từ dành cho các vật dài, hình trụ (như bút chì). Với số 3, 本 đổi thành さんぼん (hon → bon do biến âm), vì vậy 三本 được đọc là さんぼん.",P1,えんぴつを　三本　かして　ください。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,せんげつ,せんしゅう,こんげつ,こんしゅう,せんげつ,,先月,"""先月""는 せんげつ로 읽으며 “지난달”이라는 뜻이다. 先는 “이전”, 月은 “달”을 의미하므로 합쳐서 “지난달”이 된다.","The kanji ""先月"" is read as せんげつ, meaning ""last month."" 先 means ""previous"" and 月 means ""month,"" so together they mean ""last month,"" which fits the sentence.",“先月”读作 せんげつ，意思是“上个月”。先 表示“之前”，月 表示“月份”，合起来就是“上个月”。,「先月」讀作 せんげつ，意思是「上個月」。先 表示「之前」，月 表示「月份」，合起來就是「上個月」。,「先月」は「せんげつ」と読み、「先月」という意味です。先は「前」、月は「月」を意味するので、合わせて「先月」になります。,"Le kanji « 先月 » se lit せんげつ, signifiant « le mois dernier ». 先 signifie « précédent » et 月 signifie « mois », donc ensemble ils signifient « le mois dernier », ce qui convient à la phrase.","Kanji “先月” dibaca せんげつ, yang berarti “bulan lalu”. 先 berarti “sebelumnya” dan 月 berarti “bulan”, sehingga bersama-sama berarti “bulan lalu”, sesuai dengan konteks kalimat.","El kanji « 先月 » se lee せんげつ y significa “el mes pasado”. 先 significa “anterior” y 月 significa “mes”, por lo que juntos significan “el mes pasado”, lo cual encaja en la oración.",คันจิ 「先月」 อ่านว่า せんげつ หมายถึง “เดือนที่แล้ว” โดย 先 หมายถึง “ก่อนหน้า” และ 月 หมายถึง “เดือน” รวมกันจึงหมายถึง “เดือนที่แล้ว” ซึ่งตรงกับบริบทของประโยค,"Chữ Hán “先月” được đọc là せんげつ, nghĩa là “tháng trước”. 先 nghĩa là “trước” và 月 nghĩa là “tháng”, nên ghép lại thành “tháng trước”, phù hợp với câu.",P1,さとうさんは　先月　けっこんしました。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,やま,はな,とり,かわ,やま,,山,"""山""는 やま로 읽으며 “산”이라는 뜻이다. “あの山のなまえ”(저 산의 이름)에서 문맥에 알맞다.","The kanji ""山"" is read as やま, meaning ""mountain."" In ""あの山のなまえ"" (the name of that mountain), やま correctly matches the kanji and context.",“山”读作 やま，意思是“山”。在 “あの山のなまえ”（那座山的名字）中，与上下文相符。,「山」讀作 やま，意思是「山」。在「あの山のなまえ」（那座山的名字）中，與上下文相符。,「山」は「やま」と読み、「山」という意味です。「あの山のなまえ」では、やまが漢字と文脈に合っています。,"Le kanji « 山 » se lit やま, signifiant « montagne ». Dans « あの山のなまえ » (« le nom de cette montagne »), やま correspond correctement au kanji et au contexte.","Kanji “山” dibaca やま, yang berarti “gunung”. Dalam “あの山のなまえ” (“nama gunung itu”), やま cocok dengan kanji dan konteksnya.","El kanji « 山 » se lee やま y significa “montaña”. En « あの山のなまえ » (“el nombre de esa montaña”), やま coincide correctamente con el kanji y el contexto.",คันจิ 「山」 อ่านว่า やま หมายถึง “ภูเขา” ในวลี 「あの山のなまえ」 (“ชื่อของภูเขาลูกนั้น”) การอ่าน やま จึงตรงกับคันจิและบริบท,"Chữ Hán “山” được đọc là やま, nghĩa là “núi”. Trong “あの山のなまえ” (“tên của ngọn núi đó”), やま khớp chính xác với chữ Hán và ngữ cảnh.",P1,あの　山の　なまえは　なんですか。
＿＿＿のことばは　ひらがなで　どう　かきますか。１・２・３・４から　いちばん　いい　ものを　ひとつ　えらんで　ください。,ななつ,いつつ,やっつ,ここのつ,ここのつ,,九つ,"""九つ""는 ここのつ로 읽으며 일반 물건을 세는 일본 고유 수사로 “아홉 개”를 뜻한다. 배운 한자의 개수를 세고 있으므로 적절하다.","The kanji ""九つ"" is read as ここのつ, the native Japanese counting word for ""nine"" (general items). It fits because the sentence is counting how many kanji were learned.",“九つ”读作 ここのつ，是日语固有的“一般物品”计数词，表示“九个”。这里是在数学习的汉字数量，因此合适。,「九つ」讀作 ここのつ，是日語固有的「一般物品」計數詞，表示「九個」。這裡是在數學習的漢字數量，因此合適。,「九つ」は「ここのつ」と読み、「9個」を表す和語の数え方です。文は覚えた漢字の数を数えているので適切です。,"Le kanji « 九つ » se lit ここのつ, le mot japonais natif pour compter « neuf » (objets généraux). Cela convient car la phrase compte le nombre de kanjis appris.","Kanji “九つ” dibaca ここのつ, yaitu kata hitung asli Jepang untuk angka “sembilan” (barang umum). Ini cocok karena kalimat tersebut menghitung jumlah kanji yang dipelajari.","El kanji « 九つ » se lee ここのつ, la palabra japonesa nativa para contar “nueve” (objetos generales). Encaja porque la oración cuenta cuántos kanji se aprendieron.",คันจิ 「九つ」 อ่านว่า ここのつ เป็นคำญี่ปุ่นดั้งเดิมสำหรับนับ “เก้า” (สิ่งของทั่วไป) เหมาะกับบริบทเพราะประโยคกำลังนับจำนวนคันจิที่เรียน,"Chữ Hán “九つ” được đọc là ここのつ, là cách đếm thuần Nhật cho số “chín” (đồ vật nói chung). Nó phù hợp vì câu đang đếm số lượng kanji đã học.",P1,かんじを　九つ　おぼえました。
